"","project","language","article","access","agent","granularity","date","views"
"1","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-01,18417
"2","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-02,17231
"3","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-03,17273
"4","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-04,17722
"5","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-05,19422
"6","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-06,19565
"7","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-07,19141
"8","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-08,20976
"9","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-09,17610
"10","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-10,17806
"11","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-11,18088
"12","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-12,17399
"13","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-13,17391
"14","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-14,18595
"15","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-15,19496
"16","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-16,19299
"17","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-17,20457
"18","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-18,21854
"19","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-19,21328
"20","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-20,21456
"21","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-21,22409
"22","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-22,22489
"23","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-23,21327
"24","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-24,19992
"25","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-25,20639
"26","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-26,20946
"27","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-27,20404
"28","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-28,20415
"29","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-29,20847
"30","wikipedia","en","Facebook","mobile-web","user","daily",2015-11-30,19250
"31","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-01,20611
"32","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-02,28188
"33","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-03,195024
"34","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-04,338046
"35","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-05,265504
"36","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-06,255337
"37","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-07,205509
"38","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-08,185898
"39","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-09,201358
"40","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-10,120130
"41","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-11,22370
"42","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-12,20646
"43","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-13,21227
"44","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-14,21025
"45","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-15,19604
"46","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-16,19760
"47","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-17,20945
"48","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-18,21998
"49","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-19,19969
"50","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-20,20095
"51","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-21,19538
"52","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-22,21927
"53","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-23,23045
"54","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-24,21217
"55","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-25,21885
"56","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-26,23993
"57","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-27,24215
"58","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-28,23227
"59","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-29,23276
"60","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-30,24203
"61","wikipedia","en","Facebook","mobile-web","user","daily",2015-12-31,21931
"62","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-01,23303
"63","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-02,24116
"64","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-03,23008
"65","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-04,21986
"66","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-05,23140
"67","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-06,22018
"68","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-07,21479
"69","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-08,25074
"70","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-09,25340
"71","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-10,21777
"72","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-11,21145
"73","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-12,18807
"74","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-13,23260
"75","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-14,21083
"76","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-15,22986
"77","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-16,22627
"78","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-17,32346
"79","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-18,23148
"80","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-19,20612
"81","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-20,20162
"82","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-21,20514
"83","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-22,19544
"84","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-23,18372
"85","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-24,19492
"86","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-25,16463
"87","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-26,16343
"88","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-27,21432
"89","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-28,22212
"90","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-29,23513
"91","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-30,24504
"92","wikipedia","en","Facebook","mobile-web","user","daily",2016-01-31,19304
"93","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-01,19635
"94","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-02,19498
"95","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-03,19933
"96","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-04,32352
"97","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-05,24444
"98","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-06,20843
"99","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-07,20380
"100","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-08,19077
"101","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-09,18984
"102","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-10,21446
"103","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-11,19101
"104","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-12,20053
"105","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-13,21353
"106","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-14,19412
"107","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-15,19070
"108","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-16,17542
"109","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-17,19702
"110","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-18,19667
"111","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-19,20180
"112","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-20,19828
"113","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-21,20414
"114","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-22,16961
"115","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-23,17558
"116","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-24,16786
"117","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-25,17970
"118","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-26,19492
"119","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-27,18247
"120","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-28,22347
"121","wikipedia","en","Facebook","mobile-web","user","daily",2016-02-29,17508
"122","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-01,16271
"123","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-02,18288
"124","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-03,19238
"125","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-04,18551
"126","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-05,21906
"127","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-06,20464
"128","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-07,19425
"129","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-08,19573
"130","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-09,18917
"131","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-10,18122
"132","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-11,19492
"133","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-12,20294
"134","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-13,19675
"135","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-14,18295
"136","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-15,18011
"137","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-16,18237
"138","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-17,17560
"139","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-18,17327
"140","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-19,17410
"141","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-20,19495
"142","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-21,20633
"143","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-22,18074
"144","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-23,18041
"145","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-24,17552
"146","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-25,17996
"147","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-26,19304
"148","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-27,20958
"149","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-28,19771
"150","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-29,18991
"151","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-30,18676
"152","wikipedia","en","Facebook","mobile-web","user","daily",2016-03-31,27172
"153","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-01,17888
"154","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-02,17458
"155","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-03,18124
"156","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-04,18738
"157","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-05,16659
"158","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-06,16721
"159","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-07,17347
"160","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-08,18105
"161","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-09,17503
"162","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-10,18926
"163","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-11,15969
"164","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-12,15670
"165","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-13,16138
"166","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-14,18062
"167","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-15,15568
"168","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-16,14828
"169","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-17,16691
"170","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-18,15184
"171","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-19,15099
"172","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-20,13938
"173","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-21,16143
"174","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-22,17436
"175","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-23,16954
"176","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-24,15374
"177","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-25,15008
"178","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-26,14894
"179","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-27,15712
"180","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-28,20716
"181","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-29,16291
"182","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-30,16398
"183","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-01,16848
"184","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-02,18682
"185","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-03,15992
"186","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-04,15907
"187","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-05,15320
"188","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-06,14787
"189","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-07,15316
"190","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-08,17387
"191","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-09,14793
"192","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-10,14302
"193","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-11,14700
"194","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-12,14340
"195","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-13,15709
"196","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-14,15697
"197","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-15,16654
"198","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-16,15162
"199","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-17,15464
"200","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-18,16595
"201","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-19,20981
"202","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-20,20624
"203","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-21,18408
"204","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-22,16366
"205","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-23,17665
"206","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-24,16725
"207","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-25,15944
"208","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-26,20046
"209","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-27,17667
"210","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-28,15332
"211","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-29,18476
"212","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-30,18864
"213","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-31,17593
"214","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-01,16556
"215","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-02,15234
"216","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-03,15030
"217","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-04,16711
"218","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-05,25735
"219","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-06,17695
"220","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-07,14738
"221","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-08,20084
"222","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-09,15846
"223","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-10,17007
"224","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-11,23311
"225","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-12,19208
"226","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-13,16138
"227","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-14,16677
"228","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-15,18790
"229","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-16,17893
"230","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-17,14341
"231","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-18,16012
"232","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-19,20352
"233","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-20,18786
"234","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-21,14919
"235","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-22,15132
"236","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-23,15537
"237","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-24,17057
"238","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-25,17163
"239","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-26,16826
"240","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-27,18269
"241","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-28,17404
"242","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-29,18691
"243","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-30,15919
"244","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-01,17236
"245","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-02,18135
"246","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-03,16865
"247","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-04,18393
"248","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-05,17292
"249","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-06,17867
"250","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-07,17671
"251","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-08,18422
"252","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-09,18242
"253","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-10,20533
"254","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-11,18904
"255","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-12,21198
"256","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-13,15748
"257","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-14,13671
"258","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-15,14416
"259","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-16,18272
"260","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-17,18434
"261","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-18,16750
"262","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-19,15988
"263","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-20,14441
"264","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-21,13996
"265","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-22,14581
"266","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-23,14089
"267","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-24,15628
"268","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-25,14665
"269","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-26,17464
"270","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-27,17493
"271","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-28,15732
"272","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-29,14417
"273","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-30,14635
"274","wikipedia","en","Facebook","mobile-web","user","daily",2016-07-31,17033
